Date,SPY,EFA,EEM,TLT
20050708,83.9288,29.7702,16.3044,51.0865
20050711,84.3577,29.9851,16.5531,51.0865
20050712,84.5791,30.2961,16.7502,50.8004
20050713,84.6967,30.0529,16.739,50.7248
20050714,85.0288,30.1378,16.8353,50.5953
20050715,84.9803,30.0586,16.7435,50.7302
20050718,84.6413,29.9738,16.6919,50.3523
20050719,85.1048,30.0416,16.8823,50.5305
20050720,85.3954,30.2452,16.8846,50.8058
20050721,84.8973,30.3074,17.0682,50.1148
20050722,85.4645,30.2791,17.0279,50.5035
20050725,85.2224,30.1943,16.8801,50.3199
20050726,85.3262,30.1038,16.9764,50.4009
20050727,85.6375,30.4487,17.0682,50.3199
20050728,86.1771,30.658,17.281,50.768
20050729,85.6029,30.5109,17.2698,50.2659
20050801,85.5407,30.8106,17.5521,50.079
20050802,86.0526,31.0311,17.8634,49.9165
20050803,86.2809,31.263,17.8186,50.1603
20050804,85.5891,31.0085,17.6618,50.0573
20050805,85.008,30.8954,17.337,49.6672
20050808,84.8489,30.9689,17.4557,49.575
20050809,85.3608,31.3647,17.8074,49.7593
20050810,85.3193,31.5796,17.9978,49.7051
20050811,85.6583,32.0885,17.897,50.0519
20050812,85.1325,31.8906,17.7066,50.5612
20050815,85.6583,31.9471,17.8298,50.4312
20050816,84.5445,31.6022,17.5207,50.7834
